Store,Cashback (%),Link
Amazon,9,https://www.shopback.com.au/amazon-australia
Temu,60,https://www.shopback.com.au/temu
Agoda,10,https://www.shopback.com.au/agoda
Uber Eats,25,https://www.shopback.com.au/ubereats
Expedia,13,https://www.shopback.com.au/expedia-australia
adidas,12,https://www.shopback.com.au/adidas
Foot Locker,11,https://www.shopback.com.au/footlocker
Petstock,20,https://www.shopback.com.au/petstock
The Good Guys,4,https://www.shopback.com.au/the-good-guys
Virgin Australia Flights,1.4,https://www.shopback.com.au/virgin-australia-flights
Petbarn,12,https://www.shopback.com.au/petbarn
DoorDash,5,https://www.shopback.com.au/doordash-australia
Amazon,9,https://www.shopback.com.au/amazon-australia
Booking.com,5.5,https://www.shopback.com.au/booking-com
Temu,60,https://www.shopback.com.au/temu
Woolworths Online,1,https://www.shopback.com.au/woolworths
Coles,0.15,https://www.shopback.com.au/coles
SHEIN,7.2,https://www.shopback.com.au/shein
Agoda,10,https://www.shopback.com.au/agoda
Prime Survey,50,https://www.shopback.com.au/prime-survey
Uber Eats,25,https://www.shopback.com.au/ubereats
Trip.com,6,https://www.shopback.com.au/trip-com
Chemist Warehouse,0.7,https://www.shopback.com.au/chemist-warehouse
Expedia,13,https://www.shopback.com.au/expedia-australia
adidas,12,https://www.shopback.com.au/adidas
David Jones,1.25,https://www.shopback.com.au/david-jones
Foot Locker,11,https://www.shopback.com.au/footlocker
Bonds,3.5,https://www.shopback.com.au/bonds
Petstock,20,https://www.shopback.com.au/petstock
The Good Guys,4,https://www.shopback.com.au/the-good-guys
Virgin Australia Flights,1.4,https://www.shopback.com.au/virgin-australia-flights
Petbarn,12,https://www.shopback.com.au/petbarn
DoorDash,5,https://www.shopback.com.au/doordash-australia
BWS,60,https://www.shopback.com.au/bws
Cotton On & Co,4,https://www.shopback.com.au/cotton-on-co
Priceline Pharmacy,1.25,https://www.shopback.com.au/priceline-pharmacy
Domino's,3.5,https://www.shopback.com.au/dominos
Temple & Webster,10.5,https://www.shopback.com.au/temple-and-webster
Country Road,7,https://www.shopback.com.au/country-road
Klook,5.5,https://www.shopback.com.au/klook
Wotif,7,https://www.shopback.com.au/wotif
Sephora,4,https://www.shopback.com.au/sephora
iHerb,6,https://www.shopback.com.au/iherb
MyDeal.com.au,18,https://www.shopback.com.au/mydeal
Best & Less,15,https://www.shopback.com.au/best-and-less
Kiehl's,3.6,https://www.shopback.com.au/kiehls
lululemon,2.5,https://www.shopback.com.au/lululemon
Lancome,15,https://www.shopback.com.au/lancome
Etsy,4,https://www.shopback.com.au/etsy
Shopify,40,https://www.shopback.com.au/shopify
rebel,1.5,https://www.shopback.com.au/rebel
New Balance,3.5,https://www.shopback.com.au/new-balance
Pizza Hut,3,https://www.shopback.com.au/pizza-hut
GetYourGuide,15,https://www.shopback.com.au/get-your-guide
Viator - A TripAdvisor Company,12,https://www.shopback.com.au/viator
Boost Mobile,35,https://www.shopback.com.au/boost-mobile
JD Sports,7,https://www.shopback.com.au/jd-sports
Compare Electricity and Gas,320,https://www.shopback.com.au/compare-electricity-gas
Uber Rider,20,https://www.shopback.com.au/uber-rider
Dyson,7,https://www.shopback.com.au/dyson
ASOS,3.6,https://www.shopback.com.au/asos
Flight Centre,2.5,https://www.shopback.com.au/flight-centre
Beauty Amora,10.5,https://www.shopback.com.au/beauty-amora
Luxury Escapes,4,https://www.shopback.com.au/luxury-escapes
Apple Store Online,1,https://www.shopback.com.au/apple
Nespresso,4,https://www.shopback.com.au/nespresso-australia
Accor Live Limitless,2.5,https://www.shopback.com.au/accor-live-limitless
Forever New,10,https://www.shopback.com.au/forever-new
Ticketek,0.25,https://www.shopback.com.au/ticketek
Groupon,3,https://www.shopback.com.au/groupon
Baby Bunting,4.2,https://www.shopback.com.au/baby-bunting
